ID,Position,Specialization,Continent,Experience ,Salary,Gender,Age,Education,Type_of_ employment,Number_of_ projects,Job_satisfaction
1,Developer,Mobile,Europe,2,354110.1,Male,20,Bachelor's,Full-time,5,4.2
2,Developer,Mobile,Australia,4,944110,Male,28,Bachelor's,Freelance,2,5
3,Developer,Mobile,North America,4,908764,Male,26,Bachelor's,Full-time,7,3.2
4,Developer,Mobile,South America,5,926124,Male,30,None,Full-time,8,4.5
5,Developer,Mobile,Europe,4,736708,Male,24,Bachelor's,Part-time,11,4.3
6,Developer,Mobile,Europe,2,1646721,Male,22,Bachelor's,Part-time,10,4.6
7,Developer,Mobile,Europe,10,1392960,Male,35,Bachelor's,Part-time,20,5
8,Developer,Mobile,Europe,2,1404773,Male,30,Bachelor's,Remote,5,3.9
9,Developer,Mobile,Europe,1,1507343,Male,24,Master's,Part-time,6,3.8
10,Developer,Mobile,Europe,7,1558095,Male,28,Bachelor's,Freelance,16,4.4
11,Developer,Mobile,Europe,4,2557843,Male,24,Bachelor's,Remote,10,4.5
12,Developer,Mobile,Europe,6,1510081,Female,31,None,Part-time,14,4.8
13,Developer,Mobile,Australia,4,732821,Male,30,Master's,Part-time,9,5
14,Developer,Mobile,Australia,5,1221750,Male,35,Bachelor's,Part-time,14,3.2
15,Developer,Mobile,Europe,3,1739484,Male,25,Master's,Part-time,9,3.4
16,Developer,Web,Europe,5,1124939,Male,26,Bachelor's,Part-time,4,4.5
17,Developer,Web,Europe,7,1630396,Male,28,None,Part-time,14,4
18,Developer,Web,Europe,6,1009436,Male,27,Bachelor's,Full-time,8,4
19,Developer,Web,Europe,5,550980,Male,32,Bachelor's,Full-time,12,3.9
20,Developer,Web,Europe,5,1870000,Male,38,Bachelor's,Full-time,10,3.9
21,Developer,Web,North America,3,758376,Male,40,Master's,Full-time,10,3.8
22,Developer,Web,North America,6,1556575,Male,29,Master's,Part-time,2,3.8
23,Developer,Web,North America,5,1194327,Male,25,Bachelor's,Full-time,7,3.7
24,Developer,Web,North America,4,1470000,Male,24,Bachelor's,Full-time,5,3.7
25,Developer,Web,North America,3,1549942,Female,21,None,Full-time,4,3.6
26,Developer,Web,North America,1,1009436,Male,24,Master's,Full-time,2,3.6
27,Developer,Web,North America,5,1541572,Female,28,Bachelor's,Part-time,2,3.6
28,Developer,Web,North America,5,811182,Male,24,Bachelor's,Full-time,9,3.5
29,Developer,Web,South America,8,1205874,Male,36,None,Full-time,2,4.5
30,Developer,Web,North America,3,727111,Male,33,Bachelor's,Full-time,6,3.4
31,Developer,Web,North America,3,1923257,Male,26,Bachelor's,Full-time,6,3.4
32,Developer,Web,North America,2,2143501,Male,24,Bachelor's,Full-time,10,3.3
33,Developer,Web,South America,2,1926965,Male,21,Bachelor's,Full-time,9,5
34,Developer,Web,South America,2,495252,Male,24,Master's,Full-time,8,3.2
35,Developer,Desktop,South America,6,1294984,Male,28,Bachelor's,Freelance,3,4.5
36,Developer,Desktop,South America,2,2334960,Male,24,Bachelor's,Full-time,15,4.3
37,Developer,Desktop,South America,2,2267616,Female,36,None,Part-time,12,4.6
38,Developer,Desktop,South America,3,1366992,Male,25,Master's,Full-time,15,5
39,Developer,Desktop,South America,1,1453427,Female,21,Bachelor's,Full-time,15,3.9
40,Developer,Desktop,Europe,5,1458032,Male,45,Master's,Full-time,7,3.8
41,Developer,Desktop,Australia,3,1730166,Male,26,Bachelor's,Full-time,8,4.4
42,Developer,Desktop,North America,2,658109,Male,22,None,Full-time,7,4.5
43,Developer,Desktop,Europe,5,794460,Male,27,Bachelor's,Full-time,10,4.8
44,Developer,Desktop,Australia,3,2567381,Male,23,Bachelor's,Part-time,15,4.7
45,Developer,Desktop,North America,5,1637231,Male,36,Bachelor's,Full-time,14,4.8
46,Developer,Desktop,South America,5,900000,Male,54,Master's,Full-time,6,4.9
47,Data_Analyst,Data_Science,Europe,2,902935,Male,25,Master's,Full-time,8,4.9
48,Data_Analyst,Data_Science,Europe,5,970782,Male,26,Bachelor's,Full-time,14,5
